year,problem,repo,revision,code_files,data_files,note,relationship,license,source
2022,B,Js2Hou/HUAWEICUP2022,eb389c80371740fd4f474567ab446b151534c3f7,20,0,LP/GA 与 BFD 三阶段排样；Python，requirements.txt；原始数据需另取。,relationship unverified,UNSPECIFIED,https://github.com/Js2Hou/HUAWEICUP2022/tree/eb389c80371740fd4f474567ab446b151534c3f7
2022,D,WLQ-16/2022_MCM,e29ebb2df71c3da4514e20ec7d10c8854be626ca,1,1,PISA 数据检查脚本及依赖表，非完整获奖论文工程。,relationship unverified,UNSPECIFIED,https://github.com/WLQ-16/2022_MCM/tree/e29ebb2df71c3da4514e20ec7d10c8854be626ca
2022,D,BryanHuang66/PISA-architecture-resource-allocation,f378badaa32abc6925aa4a6326daacff404f85a8,1,15,PISA 贪婪/BFS/DFS Notebook。,relationship unverified,UNSPECIFIED,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/tree/f378badaa32abc6925aa4a6326daacff404f85a8
2022,E,Fucheng-Zhong/2022_math_modeling_E,10dad930931a60cf9b6de8f1de717607c3fd54a9,6,28,LSTM、FFT、PCA 学习代码及派生表。,relationship unverified,UNSPECIFIED,https://github.com/Fucheng-Zhong/2022_math_modeling_E/tree/10dad930931a60cf9b6de8f1de717607c3fd54a9
2022,E,zyaaagit/huawei2022E,49513da47a816aec816f3837ea262b5d79cbda2b,12,50,草原放牧策略代码及分问数据。,relationship unverified,UNSPECIFIED,https://github.com/zyaaagit/huawei2022E/tree/49513da47a816aec816f3837ea262b5d79cbda2b
2023,A,LZH20001220/HuaweiCup2023,722bba30c67c1b5c39f6d82a08e152a59f142dca,32,11,MATLAB R2021a；仿真器/main.m，理论计算与画图；同仓 A23100070049。,same-repository identified paper; blob/hash verification in SOURCES.md,UNSPECIFIED,https://github.com/LZH20001220/HuaweiCup2023/tree/722bba30c67c1b5c39f6d82a08e152a59f142dca
2023,B,reinshift/CPMC2023B,681589a70c5bbe9efd880fa4e0bb4dabaf3545c7,8,0,DFT 矩阵分解逼近；作者复盘指出部分算法效果与约束处理存在问题，阅读 README 后使用。,relationship unverified,UNSPECIFIED,https://github.com/reinshift/CPMC2023B/tree/681589a70c5bbe9efd880fa4e0bb4dabaf3545c7
2023,E,ydchen0806/23yansaiE,92d7c4f74f57209acc00e9aaa130dc480f5574ec,38,53,Python / Notebook；code、notebook、处理数据和论文 TeX；与同仓论文对应由作者 README 声明。,author README confirms same-repository paper/code; not matched to NF1 pool,UNSPECIFIED,https://github.com/ydchen0806/23yansaiE/tree/92d7c4f74f57209acc00e9aaa130dc480f5574ec
2023,F,kenvix/MICM2023-F-Weather,a6f5e8e49ee5c8dfbbc484ef2d113fc5b33973a8,34,0,降水临近预报/DGMR 代码；无完整论文对应证据，仅索引算法文件。,relationship unverified,UNSPECIFIED,https://github.com/kenvix/MICM2023-F-Weather/tree/a6f5e8e49ee5c8dfbbc484ef2d113fc5b33973a8
2024,A,Hanyuyuan6/2024-Huawei-Math-Model-A,d42ab909d24cfddf2e59b87e46991932f62b422b,11,22,MATLAB R2024a；按 question_1→question_4；原始官方附件已被作者移除，须另取。,relationship unverified,UNSPECIFIED,https://github.com/Hanyuyuan6/2024-Huawei-Math-Model-A/tree/d42ab909d24cfddf2e59b87e46991932f62b422b
