year,problem,problem_available,nf1,participant,excellent_leads,code_sources,data_status
2022,A,True,7,0,0,0,文件/来源
2022,B,True,7,0,0,1,文件/来源
2022,C,True,7,0,0,0,文件/来源
2022,D,True,7,0,0,2,文件/来源
2022,E,True,6,0,0,3,文件/来源
2022,F,True,7,0,0,0,文件/来源
2023,A,True,10,0,0,1,文件/来源
2023,B,True,9,1,0,1,未找到独立附件
2023,C,True,10,0,0,1,文件/来源
2023,D,True,9,0,0,0,文件/来源
2023,E,True,10,1,0,1,文件/来源
2023,F,True,10,0,0,1,外部下载线索
2024,A,True,4,0,0,1,文件/来源
2024,B,True,4,0,0,0,文件/来源
2024,C,True,4,1,0,3,文件/来源
2024,D,True,4,0,0,0,外部下载线索
2024,E,True,4,1,0,1,派生文件+视频线索
2024,F,True,4,0,0,1,文件/来源
2025,A,True,1,0,4,2,示例计算图
2025,B,True,0,0,3,0,未找到独立附件
2025,C,True,0,1,5,1,附件链接+派生结果
2025,D,True,0,0,2,1,处理数据/结果
2025,E,True,1,0,3,2,缺原始数据
2025,F,True,0,0,4,0,未找到独立附件
